protein,f1_0_f2_0_R_0,f1_0_f2_0_R_1,f1_0_f2_0_R_2,f1_0_f2_1_R_0,f1_0_f2_1_R_1,f1_0_f2_1_R_2,f1_0_f2_2_R_0,f1_0_f2_2_R_1,f1_0_f2_2_R_2,f1_1_f2_0_R_0,f1_1_f2_0_R_1,f1_1_f2_0_R_2,f1_1_f2_1_R_0,f1_1_f2_1_R_1,f1_1_f2_1_R_2,f1_1_f2_2_R_0,f1_1_f2_2_R_1,f1_1_f2_2_R_2
slr0242,456275.918275,478377.126105,433460.353069,440777.956277,262731.953093,211078.908564,239458.698672,387744.788157,552639.722909,406369.952999,249764.157044,169086.298398,557857.531098,479735.457355,790891.053202,206146.167083,652395.153868,743287.998346
slr0244,1964748.08465,3798294.68477,3151929.36455,1220816.90765,1264478.51086,751451.883005,852394.191072,1407943.38492,1046584.14527,1340782.39954,2106731.05765,1927906.09596,1214501.69899,1470224.0094,1596512.33372,1870709.80321,2200434.43561,1718847.15217
slr0250,1030190.29149,1048217.76368,728183.758046,88824.2156297,1799945.40543,3954835.74841,1228317.13919,1702912.99765,1212249.53685,1250794.7147,1141822.27495,1002661.21232,1213441.94146,1986155.21106,1260891.12597,2134100.82921,4042045.13306,1507017.34565
slr0252,40037859.6627,23442872.3453,25501075.196,5829557.70539,2333592.46629,5646576.97247,5852052.72863,2377338.70964,7083588.09013,11263497.507,1800093.81787,2338831.76518,1745989.8046,1390375.55486,3106750.65489,5480733.89551,1478795.59247,3994627.97803
slr0257,2037517.82811,1306696.86956,2694817.49534,1781152.13861,1188154.21221,1898880.4584,946228.397297,510561.038143,840565.262246,3414797.89383,1475385.9387,1143746.9616,1776638.40369,1646933.68377,1310617.62111,746392.705722,1496816.10661,1310722.58164
slr0260,605612.272735,528810.480124,637438.045502,726071.118864,663690.620674,536884.183816,365733.034179,348382.720698,437377.1675,738522.545153,637627.309859,475126.787748,585735.763504,706081.09668,739185.560491,716198.073386,693705.542438,564843.947942
slr0261,10799203.0007,3432909.27705,3285546.52784,1821735.73319,2042076.60666,188937.289724,1738674.74024,2122615.94822,3518573.31681,109621.325254,642494.036096,1418101.92235,239393.363834,2031582.22909,2697022.29176,1756334.52802,3936576.45719,892033.86239
slr0280,1105024.25992,1930791.16701,1796393.34462,862258.690664,803839.930459,2815459.68921,957986.021143,1186409.22227,1080797.53105,1100557.97216,1203738.79243,1185236.09204,454521.935542,488721.798194,460915.401182,1209022.46275,2209380.55769,852195.935528
slr0288,8189675.0144,7811355.39838,8047389.77,9226861.96207,7364185.77999,10021779.5231,3957680.79402,1900411.18286,1679344.03028,4450656.40784,7004953.53548,1569602.86525,4752304.30846,7180436.32044,5412817.4426,1807901.52794,2791257.0798,2521167.56148
slr0293,418303.920261,355608.66189,322799.575498,502719.324001,388023.145106,318655.499668,374979.453375,403888.252003,483020.476323,208677.152162,278604.412896,279079.900749,1452883.68111,954788.667402,2055460.54534,533589.183452,954057.56782,936995.956149
slr0303,302919.530249,342302.603394,423781.258028,327322.534637,206620.250124,296884.827989,150953.601024,101206.570662,649822.010134,293337.565944,491493.573171,481597.581042,1245037.30697,475894.998782,468449.904533,1322282.69572,492709.21586,1199226.86815
slr0321,379787.078367,506854.644325,254068.832062,386598.956862,308581.894001,731939.349831,683644.75068,63246.9823595,254037.02165,368162.28448,675360.716589,579369.986912,423989.440797,393693.291282,567495.332787,242664.447449,956607.225152,370340.831469
slr0322,5154027.87091,4558957.81079,2399092.38634,2723913.09893,2710425.04611,3082929.3264,2158496.00571,2638076.77571,2143037.27181,2102672.96367,3078748.77479,2674850.88866,2436490.49717,1016241.38086,2814383.06118,2676748.01776,2721343.23307,2599643.82396
slr0326,5673174.80497,6543838.7703,6498613.46352,1245353.08438,190706.530212,240703.831743,348693.450104,3290320.68618,191497.826148,4670865.70538,2975878.29898,2129858.52067,2097756.03388,127205.02319,300439.611159,2903675.3327,333242.541578,295091.755081
slr0329,243534.28415,252949.33851,994017.888562,204308.272668,475708.162309,726746.075704,428982.887247,526645.514796,652290.153523,340026.559319,412266.536403,353631.23311,488715.759961,541878.23299,670329.249628,664729.454978,1162483.35258,612893.694078
slr0335,6664926.73295,47383503.0151,46274865.9391,66902783.5169,81106536.2157,83895062.5579,39775031.4657,85508372.2545,85739008.504,40615108.2805,65626871.7677,60115977.4429,49322408.4457,62601764.4622,58636223.3647,66590322.5767,59131515.8872,88910282.3133
slr0355,1629885.12376,1137489.71146,2090826.67454,4065877.47421,4407446.68092,4673533.78496,3444078.74066,3579647.88015,3500108.7617,7222712.17471,4460094.42674,4540708.92228,5267891.44713,4143426.41046,4046389.03648,1669718.57705,3248212.95375,1940108.26663
slr0357,777750.95514,379225.666107,779452.417748,335768.459533,333961.174658,330474.873209,442919.513388,117385.486533,334080.660465,334678.393187,406441.180191,346214.199742,268555.488238,683810.378721,310612.027851,140878.392304,874842.181745,172762.159078
slr0361,164261.672101,359490.124033,335938.091603,157595.605779,140737.797842,186068.405152,278999.68947,323829.386527,89141.3265315,93635.9762664,216121.824495,249621.91098,194904.605929,204065.205469,173565.082609,178182.302541,212469.002275,231940.524091
slr0362,1072108.66128,770873.683488,1071253.76865,1389694.45504,1675725.43753,1417403.85396,1261783.75629,1314574.99063,2112760.15672,2513316.63253,3018351.34202,2771614.70318,2571737.69982,2313690.44657,2262228.21819,1946993.4467,2013846.00564,1633821.54867
slr0369,2134871.85096,3113628.5769,1197643.22885,1699664.9298,1908636.54634,2031241.3342,1832014.82546,2112829.9692,1449401.90567,1382453.43138,2922175.90052,2469675.80604,1899774.00171,1281288.01328,1527339.48987,1827938.79566,2184545.62495,1776157.57045
slr0370,12347113.6819,15336642.9557,9615704.9885,20111049.5646,27630138.6531,21544211.3763,3831522.23357,35049923.4085,16558392.4653,9806675.00706,11277137.552,15254944.941,8468800.01409,10708553.0799,10658319.0482,15485611.1238,1928059.27608,13097950.3257
slr0374,2720650.59318,3193604.13601,2140636.74053,1984253.39238,3430295.46032,2365254.37551,2018678.07574,2312150.50064,3011155.2805,974169.261265,2032919.14761,787173.283404,945554.040408,1062413.07388,614958.691793,2605264.75287,4904326.13489,1182947.94501
slr0380,1632062.51693,1144899.28615,974953.658409,578972.722651,703608.165669,708363.73346,1100528.27095,588579.788684,304752.849284,1154856.65128,974258.924364,861262.941125,356821.997921,355737.862928,405360.755396,494956.251555,800987.907539,454335.954414
slr0394,23728229.0085,32832417.4675,25319007.4643,7028231.97563,6460270.23881,7016525.209,13331911.3649,14671143.3436,16352289.6099,26944735.1483,29620673.9577,29189125.7507,16702640.3863,15727074.1296,16619996.3405,24073848.3851,15955267.5862,21454856.6271
slr0399,1831477.49689,1513774.13629,1106155.88414,3023968.63762,2506347.36057,5682708.03452,3473134.4299,1221327.48463,1431017.97863,190665.814462,1034347.80603,766732.467677,1671476.80601,1275465.05777,1430436.56006,1534692.13468,7010024.18163,2268822.55388
slr0400,1114880.28195,329247.806747,499985.919825,357802.833054,281280.940441,466708.850384,341241.950709,469596.284453,490126.128458,335485.817806,300055.995971,271302.83248,575595.689977,668674.002205,649559.777315,452422.87746,808060.745132,428645.771747
slr0404,302044.988111,464113.888475,2558848.63504,92183.8472256,310225.880546,313817.479479,1150670.1942,1049725.37973,290995.502411,843774.533637,207744.060918,403320.836183,49105.1661664,126038.571362,140592.759788,309544.652787,730181.78455,179996.301257
slr0415,831032.729865,616267.480551,267615.586078,5089187.13172,4425976.42501,7436225.97015,3127209.36252,2367892.49802,2397496.59861,333855.000434,951822.876431,546787.526353,3210726.62632,3431945.15616,3457465.6956,3757592.58308,4714572.1745,3192329.28305
slr0417,6010194.48968,3426982.38828,3884233.33439,4393486.58346,3739224.89596,5030666.12971,2248036.07049,1605023.44502,3303411.89155,3687345.61387,4999159.60813,4644806.35699,7277279.59381,6413304.94843,4865762.7571,3210345.82208,6862229.15265,4163974.26909
slr0426,1724868.3381,1323715.57547,602804.810234,789150.563612,1536917.35468,1470899.29886,3313058.37604,1842938.44544,2763022.75999,653503.713159,889106.097925,621120.730301,1750450.3591,1882795.3029,462643.482042,475644.725885,3898282.6118,597252.364204
slr0427,921817.468155,1901848.49442,986313.962157,657066.814306,410105.000137,821477.190703,299662.85332,255976.82675,327588.958244,566387.449685,876954.75155,776580.711397,424702.536966,422621.643213,710176.36969,358381.016935,858390.733017,433271.299147
slr0431,896762.956573,837212.866888,595434.491043,313758.570689,5292492.10989,15750497.0991,1932809.28324,92746.9863298,804736.372708,230226.943714,453536.712278,659034.592493,1323913.88778,6941538.15202,247080.192783,803581.513135,7023216.18489,4824928.60446
slr0435,1786608.08263,1587145.84685,1020091.38009,2474635.22275,1797563.60465,2653546.73063,2198996.92771,566801.851379,3755001.19251,1551129.49283,2157157.31847,2309166.59008,2187879.52223,1613933.00606,1997676.62717,2928311.71404,6162897.37971,3195505.40498
slr0439,802376.581203,1507076.80089,1410946.56908,3813387.90482,3343855.91727,3605145.1462,5124235.25936,2855867.33506,6072373.49198,3299438.32164,3315128.60982,3340867.3915,3557040.50952,2957236.08547,2913094.1523,5556430.83532,2973563.68085,6337646.18823
slr0442,661100.835818,1598115.75831,233905.01045,669359.498772,1018181.37135,589437.304913,1309046.81443,757835.722049,1569906.88629,358658.057011,299656.617614,699400.627748,274986.069945,259307.832931,882921.137152,940045.167556,262377.185875,346611.49394
slr0443,1536891.92312,376858.040578,1377590.4006,1997710.73914,1755554.17781,2168759.15761,1607525.31721,2115193.92486,1721090.9887,1304428.28779,720286.996216,1693321.87742,3400385.76623,117195.94673,2496123.12652,1922497.43807,334541.532078,1687367.52217
slr0444,455846.112977,673895.66357,848153.012474,595467.238943,408929.829359,557324.635893,702649.297285,406709.367034,796130.320722,817727.20502,1148144.29946,127519.204376,799861.010619,954941.266296,620948.978931,810720.514873,1585356.53978,529535.185097
slr0451,650937.835932,686422.156134,1030209.87981,381963.271472,595528.245269,421483.308092,574531.873624,822735.547036,698695.521876,478811.370262,302562.940451,353379.633128,800902.083467,741795.144739,942772.818566,792991.779768,2568407.86358,877366.665532
slr0452,2119021.20865,2686507.50645,2252096.45039,347063.765528,768601.454436,1026933.77529,844074.836414,667633.428803,123276.744175,833716.539121,878927.473844,801234.312875,639364.496429,831251.875523,563059.522069,363215.068551,985096.731912,479221.969671
slr0453,461957.383715,505432.643824,526732.169262,1518326.67157,1519477.74448,2421094.72855,1712475.87326,1206289.7007,747895.491817,267727.977094,306793.185024,234049.767566,732951.28569,175727.198,670624.290601,974122.324696,686035.28501,901274.103972
slr0454,190909.101533,143883.194777,117943.816293,101844.200821,347555.370935,235140.840138,108365.188097,147388.611942,140175.546473,207921.909843,148124.288586,77495.7286566,230962.620995,204387.237115,260139.112968,153443.180265,81177.9089721,105855.021442
slr0459,118218.191369,511175.136614,223253.036816,95594.3074181,311887.386489,503520.641038,130770.93682,145801.385802,193483.555913,343040.104521,171832.766833,250486.377783,126898.155055,574403.509857,149632.306534,234527.300399,364230.728697,105035.693246
slr0467,228160.106845,957739.248773,176366.657584,750918.890653,813005.525561,190678.051214,569340.508564,471471.025838,848047.771308,149453.710187,67914.1795284,222404.262193,92085.700598,1577874.54824,1368893.91899,596131.632977,2736256.90896,790764.502613
slr0469,5498795.67903,2943047.74754,2684456.22192,15137378.0807,12188157.2037,17644114.549,5747147.25498,3608436.23228,6209202.24768,5493606.67204,13151454.3499,8585581.73118,20947547.7851,11026155.4613,16276128.9909,8244448.36565,3195143.27345,7713006.66866
slr0483,23665665.1719,16154968.2129,1803396.31066,50548121.2966,51631862.261,175649.049116,35009302.9269,35517469.8742,56283867.1332,445988.055155,4851396.69302,12683937.6898,10673816.6109,77320596.5715,12455271.8866,19808744.3616,101845266.222,31439911.4162
slr0506,2561914.24855,1966074.81714,3230314.59631,10646732.3983,8956785.52652,17012194.7654,6817785.69273,2818172.59881,7988885.28766,1380112.76806,2764727.63845,2137198.11343,5844778.81107,8375521.58296,6052152.95256,3976274.32686,4094778.03127,4676325.761
slr0513,5315195.66952,6857094.19076,5004425.71489,1841291.08335,3487952.02184,3374400.33141,4233088.09522,1354806.55445,4885289.43089,3739163.64279,4242356.71474,3737314.41737,4023038.19423,1201187.5717,3195268.3142,5003014.4692,1919771.55355,4049701.36773
slr0516,1086487.20062,617441.147502,420236.085359,595894.814748,469785.611534,348005.047547,387001.714605,512171.671898,426356.939065,412908.626433,687655.211491,584214.094506,626171.378472,282999.741979,567739.416276,442257.493853,1653133.981,669709.312603
slr0523,9133752.67161,1373551.47047,10673377.078,21577571.2439,16863783.9787,22944435.6805,14231037.3276,11125108.754,510219.235543,6825519.61174,10492040.4851,8005486.50786,15364765.579,35152507.4181,34072955.1957,17541148.1829,17145374.9242,16256181.9998
slr0525,1886071.12099,1565025.30678,1343010.61141,911500.019339,865715.197388,869690.095341,659110.147473,639527.631033,1245229.53058,827559.13339,1538947.60077,1168149.05439,2304560.40234,1971602.45658,2374584.05364,863132.517106,4100558.58542,1209337.10562
slr0528,5003714.54324,8485179.00177,6289207.6345,3984442.14587,3794294.28434,4405554.89351,2440018.32366,3177623.91789,3777199.64347,8007856.04362,12143560.1497,13928851.8173,5605229.85285,5605560.60064,6063593.77304,4592623.98984,212010.221347,4383144.17665
slr0536,4022026.31954,1240902.19489,1423352.66905,2872461.57693,2734533.92547,6219892.78493,3623361.16012,982543.631006,4654268.87129,785719.990392,1923067.1353,1466809.36716,3234724.36734,9134833.29046,5014440.27286,3173184.07098,4525249.59205,5157994.50777
slr0541,851573.121862,2022630.37323,1672456.047,902194.594116,270466.335061,735039.546253,717973.553234,1106765.93219,667209.682393,1149574.79781,1323999.76139,1219092.39273,669435.36607,735865.433341,705344.890891,600528.198707,732864.440403,682803.698426
slr0542,871360.823786,843783.296903,315240.213012,1671011.14155,2727753.62011,1828374.92802,965853.178837,3542919.17231,1211646.8043,1850443.4865,3602000.60046,2427823.19026,2263204.81342,1846112.11353,2677931.00619,2032053.97781,731618.626878,2657663.35266
slr0546,1043337.83821,896797.318534,745709.820721,1098455.40599,899837.987892,1116795.71739,774087.831868,198734.50164,923025.322847,916473.935717,1285965.61102,1271860.25021,1784257.07894,1078134.92327,1040109.64885,305292.254006,2593322.94777,957699.606548
slr0550,1124599.99449,2389027.04703,126097.874588,722148.87279,1631921.80754,430878.369188,369838.401269,1141709.71749,470884.991303,1388464.05804,1510491.51063,1135933.82137,929792.448727,1492291.30624,161411.196386,1793450.18943,930414.742831,1602441.75487
slr0551,1335470.60426,1030152.21348,810732.626128,1891886.59644,1416535.94107,2407932.52985,929744.963709,426795.6647,1074929.31611,1177059.09726,796298.487071,605613.520018,2330318.37764,2831683.98382,2157161.09319,573662.35433,1496004.2702,656503.897152
slr0552,2064886.18583,2483317.8299,3052072.23673,4235750.29975,4366549.88364,6313514.8298,2239334.56682,1149752.60132,1840145.21114,2697098.52051,1979737.09921,1970743.88444,1484596.78724,4582898.20088,3780674.57902,627816.378328,4854082.40865,2120755.14605
slr0556,139939.630446,255999.615096,236468.438245,167068.638475,157766.473466,211499.053324,161693.520919,251003.152534,137876.36265,228228.110874,554113.117079,313075.854156,202668.490923,179832.65204,179335.906381,144016.566983,704736.129019,148402.507838
slr0557,2018171.68869,1895788.5099,1494670.52185,644632.594513,1266899.47344,1563435.30693,708816.000314,436180.097356,1009988.35458,1164121.63413,1715944.40108,1397039.26456,1696193.21672,1858777.55516,1931689.26504,796538.669128,1172993.21344,1145200.93101
slr0574,761210.091963,32071.5892292,309246.196061,237277.685213,216195.762106,344370.830169,226882.89515,150209.166079,276022.657283,192932.792154,168654.132486,145659.760254,506456.375223,225201.46752,213193.313726,328828.973397,652876.768474,267640.850222
slr0585,1541266.45721,2978493.40443,2623264.99083,4620652.96698,3716791.3479,1260798.55958,2725721.77259,1748683.26465,4282688.00417,2312458.09717,2783581.07161,2321330.17979,6244437.26628,6141190.34924,7012426.54381,417906.922514,3212474.84428,3226231.61895
slr0586,499827.861589,381727.466943,198661.629708,234950.217808,599198.826089,351657.088842,423672.745198,240323.996518,277014.995363,156867.297146,206018.734568,259310.976444,437689.640181,345346.529698,279836.396398,269846.862298,726742.846681,202623.814883
slr0591,840228.155641,441335.4321,524611.062973,803719.340719,848872.790515,2740672.47477,602228.358152,905992.014754,586500.352999,133686.686667,722651.590227,891874.894362,2352310.20869,2372705.55788,1932869.50905,72591.9144087,1289535.12364,519074.819503
slr0592,509611.619821,198451.508489,320627.121567,327092.40654,122328.131153,221827.434752,104038.994399,302669.811336,130622.95456,310743.863364,386298.483325,366565.925979,362699.808895,263693.114102,254563.97149,101914.053834,167197.202825,225028.105516
slr0597,6297706.06418,4558475.20354,1401441.389,3341044.52256,2299374.90271,3643403.58566,3204131.90698,1199563.3472,2576955.82915,975249.958524,874762.382828,693455.661205,2183360.71004,2815610.68516,2247757.79128,2776681.2984,2209599.85163,2130418.0974
slr0598,532499.722395,792279.131523,591305.74194,681783.063259,638293.558063,795248.900144,1030941.15662,552230.11785,1115821.89359,1147551.31787,951534.726863,917968.690947,700725.479255,541500.815345,520622.388674,1272646.96223,1998990.81844,951147.889767
slr0600,7771152.5865,4648144.88314,3077962.68673,2474285.33923,2231782.3516,3006923.02564,2278347.23742,1537227.856,3141874.95226,3235631.73172,4320419.41376,4033511.9698,2388865.26729,3516325.21857,4013611.01808,3734367.69908,1880221.50937,3474352.73123
slr0605,440190.971714,701429.155847,602296.729533,788121.879412,780853.801321,954012.703899,1617663.24138,566475.06556,1107516.06066,925338.611161,1406016.3962,562431.769879,372275.862214,322283.364086,362693.773639,700053.649072,778479.692957,288711.537233
slr0606,451416.652228,499739.398342,1380255.13511,453293.425231,515678.665867,687482.970737,149134.899549,198733.568171,1001287.56962,1378463.17789,551010.198626,459733.426723,195894.867116,386180.392674,262969.492961,310463.030307,754663.664559,620925.700411
slr0609,5757030.16826,4373774.52117,3705084.61527,4571101.03007,3752326.91314,5009045.82303,2560002.39299,2422587.49364,2614751.43108,2911641.25504,2604375.17376,2522685.50404,4440708.08998,4747210.73621,5208636.16315,2580333.91735,5280069.87136,2523967.25795
slr0611,2169720.32108,3253709.32951,2222475.79134,1469711.07946,1506209.27335,2741561.27296,1630562.14083,985086.299921,1571031.8386,270914.849618,472509.647633,433121.302238,2835166.09077,1516988.54216,1384294.75289,3284170.68769,2820683.55639,3024457.66188
slr0623,61267078.6247,93435927.956,85716301.1765,78111852.4376,85450280.7344,47848550.2488,51713377.9714,58629928.6272,51692196.4811,94334261.1976,68441219.7325,75545443.2068,53639742.3809,61118666.7728,46079223.0418,78794995.9014,70660350.301,65692902.9989
slr0626,4127889.54266,4500668.63328,3919285.05534,4209253.99868,5048757.58381,4916269.92054,1883673.97213,2932742.59384,2332943.34372,4139929.39786,6725971.78323,4667529.52404,5402784.36934,5455859.27821,6055209.6737,3693284.53461,5144216.32228,3367541.47916
slr0635,1663043.89047,1583096.32082,1471239.5271,859815.226483,927484.213989,889961.084727,568816.521744,400852.393219,976970.109873,1124139.93226,1355304.5629,1038215.45258,1148908.50757,1360430.83594,1253544.93391,934639.59724,620866.074238,465811.285144
slr0637,3045464.52153,6907736.92703,300450.809089,571375.767534,342190.018906,3619475.59854,860110.571333,2909754.0924,3079375.96981,3847993.28145,6528229.64162,5698405.09605,7275814.20847,1211290.85785,2384470.18255,100909.187021,1968609.35953,345748.444854
slr0638,2094820.25814,4470895.30018,3503566.19477,2396924.84883,2494283.69922,2981937.79243,1442530.3834,2550661.32453,1483655.39867,3514542.26763,5385305.39567,4385059.60799,3580796.27011,2940405.71827,3973512.64841,2053952.33185,2448206.35218,1916799.77726
slr0649,585218.319313,2061939.7754,2140397.18586,1775810.60159,1721398.19948,2420850.35126,948114.783889,1807817.37617,1733603.962,2829350.11626,3995476.52918,4906374.44339,3441937.98343,2565491.6605,3110479.95055,2476504.30009,2208831.72267,1695817.45432
slr0650,2043118.32388,3779156.32494,2682714.03593,2344762.37983,2029004.69664,2480803.62212,1778166.5539,2146257.87857,2479571.50372,2079020.6883,2561346.12811,2359168.66964,1963288.74827,1965207.13964,1984700.06464,2461843.58348,5140506.75598,2236813.94929
slr0651,2602646.224,2552528.05218,2577536.54661,208389.736673,204437.717821,304603.542938,3067097.11172,763127.824942,3271058.27499,2252716.07432,2110553.23109,1956653.16083,1396425.97553,4227830.14371,3088752.94191,442268.702608,6056037.90853,1951529.73319
slr0652,4779121.7054,8020632.02325,6548707.69597,2442665.67836,3739248.7805,3791789.30294,1697895.60272,2754182.28174,3193044.60482,6515375.50047,7235770.56248,8300329.1767,3446906.63259,4306375.04584,5050775.79031,2953408.60082,3249354.08601,3418193.40867
slr0653,3448755.35456,3918224.43966,3222998.47084,3233079.0924,5469519.41119,5213124.38518,1035882.15911,3017705.74773,2711383.83343,3379605.95422,2529375.96666,2917118.86678,5757414.38306,5411220.47832,6561988.37465,2710308.45376,1399333.43079,1337708.24506
slr0656,251309.830746,324515.166925,298310.991275,142884.024034,122253.232015,219822.144433,254312.351495,96206.8600362,229493.21296,98914.6092691,127963.792996,86205.9098869,84204.5989818,110033.256689,306450.452215,141071.956061,345387.304771,361991.469659
slr0657,2122337.52682,5849479.80333,911526.639945,1790188.97517,2007913.30547,1742748.19792,833677.232302,452257.763746,1080183.16022,869721.999851,747329.94624,1117712.50373,1738294.4011,1082487.47783,1633928.50835,1089930.20915,375377.684692,1034299.74371
slr0659,926253.821172,1668201.85359,2121943.02996,3571705.9876,1718999.51758,3824813.2736,2001499.61841,1144780.97666,2468707.89009,1578290.04718,2389751.89259,2524527.85533,3302285.81584,2969500.50945,3644568.01407,2383437.19899,3304311.18806,2253971.2225
slr0662,214629.358083,231005.006381,159372.262,1153156.79021,1501814.86874,1460572.13317,597664.523804,879983.506548,677835.351969,643813.842616,2048534.78813,891897.439303,1457885.31265,1435086.81684,1411480.25483,681759.00688,574814.143495,576182.756313
slr0665,7154554.41716,8563661.00235,7230266.82029,5129168.6881,3915794.26214,8064205.51972,3222994.37259,2476633.65402,3995992.44396,4702518.50271,6606430.58488,5400790.37122,6225761.98978,3792103.71792,4387588.32976,2820075.04385,6425613.69108,3662554.67531
slr0670,3812539.83543,4029357.87352,2361647.70183,1578318.20978,1392465.89222,1487499.78035,1659298.11817,1841984.51094,3804854.99509,1186686.3691,1271316.31195,1535345.51405,3908814.60045,968678.357003,3772964.89145,964916.170361,961875.930932,1407796.81178
slr0676,863048.886117,1036492.428,433222.083609,5739738.66331,3125944.02413,7757409.82903,1920353.01934,615901.767946,2258300.35479,1029283.96879,3108401.11244,1532565.01945,8243896.03529,4416834.87572,79890.6021271,839908.352525,3459022.13765,2469692.26685
slr0692,3619526.54146,3390678.80028,2209263.63372,5248335.71851,4205149.91123,1436892.08731,2075237.95143,1466005.05864,4364194.59252,1949522.6309,2074383.20103,1949847.13509,6630322.09331,5285322.18858,6006672.87357,729889.133125,4881805.94888,3557756.94121
slr0708,1203982.54814,1302017.17505,652146.698391,1159678.12212,1427165.42942,1091951.72534,521814.606873,138815.89259,498425.561993,253206.774213,148849.614113,109407.034847,378817.718841,698905.425156,586409.163285,338203.03714,659046.492649,587355.491812
slr0710,4064655.47444,7067542.97246,5723167.63415,2709952.66841,3917955.41055,3275295.02239,1143909.80368,1337202.5304,1607806.16702,6926073.44773,9896379.66058,8969155.74675,5728467.09762,5330016.57063,6457942.1938,4159642.24773,7413258.20411,3785509.37718
slr0719,816956.174644,99193.0357721,638406.703635,169917.548053,509510.713151,258214.58789,453448.571451,380168.926045,206848.168185,124934.926858,468089.093179,578035.856247,243503.295001,271054.740978,194018.146198,166931.54726,723008.010848,203193.94907
slr0729,2332162.14048,2325581.68681,5451128.13801,2494518.93957,2522510.76467,3396208.15532,10053310.1993,1897135.35308,4152322.19922,2220749.52557,400298.277579,417655.925974,1150232.13531,800233.51872,937005.280023,1948418.11184,2395894.76107,1640609.36681
slr0731,2354879.80722,1732938.07808,477600.107997,1410742.5697,1094315.40762,1413526.69502,1662201.66052,1289251.61259,1594395.26188,849565.635074,377883.099535,323125.56696,684602.602795,826718.631211,695516.678616,891778.399477,1451437.92582,847196.310676
slr0737,5047199.26569,3591883.36787,4108573.11708,41630676.3317,31126779.7736,21358944.8338,92941673.1667,68604151.9758,73374437.4999,215239.380348,160231.444249,135969.63815,23231328.2816,32669465.841,59101238.5876,43958229.5193,97334867.1676,36392490.443
slr0738,3315923.33811,2428479.29399,1771922.29047,1316035.99181,975867.891996,1646451.30885,956869.128511,528204.6257,972580.979049,628517.052731,1068891.22432,663632.281764,498150.31632,962579.019035,736634.550184,707069.678004,3117988.77323,842333.995064
slr0739,5044572.68628,5123306.77697,5930351.76201,4515043.85289,5034350.23278,5141083.87807,1868239.47912,4031430.40403,2518351.44383,8254228.1655,8488405.54798,8917533.30589,6594410.36625,5457996.91784,5938012.47858,2518081.05145,1220493.16247,3254117.1744
slr0743,8425989.68269,7252890.14875,5721579.66663,3459871.65421,3754747.94971,6670527.54681,2596853.81061,706848.268279,3177427.58413,5329269.88997,6897301.47589,5863513.46996,5622070.50842,4547505.01176,3489295.51843,3052499.23341,5945595.87737,2066427.44445
slr0744,2290138.35528,4430016.31305,2569615.28704,1463003.29804,959613.988378,2336212.52164,1126876.24738,1145994.26384,742168.911647,1096675.49475,1238723.21485,814605.480075,910264.701632,1129463.22087,941169.836955,1176522.08795,1218769.27962,1163221.36347
slr0752,11183190.7219,13483083.1031,10721127.7078,5327616.10388,5808968.5853,65360074.8184,5332496.03576,4434483.81901,8267184.78128,8130506.74773,11344233.8746,10300010.9925,2226729.05158,1239765.89572,10443318.8632,7617030.109,12468735.6001,611615.564227
slr0757,1799647.2532,467999.85573,422226.452233,699427.860687,808986.443808,389701.957498,1382556.15388,292373.321969,1237804.31083,211250.628303,157760.864376,516360.397296,739268.979946,987283.861851,974344.444326,1166672.88459,550466.380665,1042284.21623
slr0758,1470210.24926,1416043.50688,1756571.08427,1088546.98914,1331995.02799,1161938.25782,1445533.38666,1281392.19794,1747256.55239,920712.227333,1247442.63061,1306978.8601,2031434.86468,1387251.68688,1820527.70146,1345096.61056,1568677.75088,1714666.88177
slr0769,12534550.4649,11485977.257,9814705.02383,4183230.86592,4149469.39294,1787457.67386,2910366.301,2473931.57554,4146759.95712,8750951.27475,9348447.74669,10108912.5091,5903726.38988,5598509.99827,5760559.62688,5069658.51234,8459574.14173,2224984.0174
slr0774,115631.230567,557865.272062,425410.514987,630091.847093,725642.724683,657678.432341,518039.019864,393204.773288,706461.101939,560793.127571,115129.029063,737884.405498,1379849.77403,1417243.59225,891427.744718,694743.093728,956021.24257,574149.140609
slr0776,1365534.93302,2058219.69745,1967505.53447,1603916.75884,739124.527298,1750013.19543,1389696.65847,1353175.40835,1779912.71876,1472670.28982,1795740.7498,1635260.60635,1946088.06156,1376352.97274,1628711.47778,1305124.23678,2649792.14965,1752429.42471
slr0780,377576.231134,195819.418594,483334.015003,450806.859947,602443.426707,533408.288762,437932.903305,523224.747285,349289.820869,345244.123263,613243.018361,437867.642258,319171.304036,301350.333671,332495.328725,343016.482475,384902.902599,408344.222035
slr0783,3795366.24039,7449719.53197,6325843.44941,4697096.166,6606179.20891,5734722.14261,3475426.35565,5472183.40935,3318039.5321,13603918.4942,12535418.5961,13743486.8237,8516135.94342,7718911.29613,8062549.34011,5309251.79568,2694650.66586,4804102.14853
slr0804,1904416.19045,5309942.05446,477542.077879,1664409.1314,1402569.29214,1926784.74875,851535.018453,1986386.17903,584286.253031,2214041.19836,3194180.48943,3031023.91158,1263153.702,1209208.8172,1159852.18844,915972.481092,1237277.00632,729200.115147
slr0808,4937372.08672,1331582.35034,6202702.45834,864271.438964,3656842.6314,2163025.83359,1342606.35877,721041.812038,2015979.86147,1621936.29307,2575163.775,2135712.89374,1291107.59735,1879933.72561,374039.106317,1108696.1047,1496895.12226,1053974.86451
