protein,f1_0_f2_0_R_0,f1_0_f2_0_R_1,f1_0_f2_0_R_2,f1_0_f2_1_R_0,f1_0_f2_1_R_1,f1_0_f2_1_R_2,f1_0_f2_2_R_0,f1_0_f2_2_R_1,f1_0_f2_2_R_2,f1_1_f2_0_R_0,f1_1_f2_0_R_1,f1_1_f2_0_R_2,f1_1_f2_1_R_0,f1_1_f2_1_R_1,f1_1_f2_1_R_2,f1_1_f2_2_R_0,f1_1_f2_2_R_1,f1_1_f2_2_R_2
sll0529,1638573.50395,1220873.96691,1217284.73297,4797839.0943,3526073.03553,3420985.64985,2946645.1633,2500791.93856,3643898.64114,2689923.48953,4115301.50039,3291733.57661,4634011.75197,4587785.84937,5283357.77546,2838462.9859,9206828.50906,3887533.27338
sll0533,16455187.4513,35922933.5444,24670232.6505,13011303.5107,11434861.3423,13661357.0623,7558034.16564,8527314.66811,7743656.11984,22349599.8119,23146458.6042,26591883.6828,13130638.714,15129174.5359,15984404.1743,10339761.5415,3560021.10632,10129996.2107
sll0535,733404.903752,693854.347529,672514.845244,771522.482591,764451.217863,748874.540838,67648.5676767,665079.185805,326385.531834,1501543.5891,339342.007659,3331846.27472,1364558.6086,1415038.80635,1599177.37415,676381.424255,1394477.33515,664338.186858
sll0541,149759.95426,192512.157791,287287.275726,616940.143452,758808.299361,1363979.48001,376539.655944,297941.271577,374605.72234,391415.598756,312709.602055,197790.655139,701775.126703,759146.971349,619968.314837,312760.895472,1081113.04268,275317.078734
sll0542,135308.861699,276278.255058,478604.2145,362285.433884,964306.642868,526738.872803,233278.150291,1106056.63103,347122.499915,889670.249554,126751.924254,364341.44927,1030353.41946,471235.002165,583239.62474,855849.587013,1318373.65916,904871.898462
sll0553,1939666.64179,2588430.73053,1627387.61247,1747928.37741,1820257.3661,1900530.05294,1518120.48826,1752535.49211,1599816.4933,746571.080384,1385826.39184,923674.928177,1146485.07645,1591725.748,1274530.9439,1459866.14542,1029400.21174,1456466.73823
sll0554,243002.196356,410566.510083,960825.601852,423829.412642,534502.24763,324648.513208,673174.383454,850131.059982,457094.718735,410758.777219,253970.810954,281125.782526,550709.14259,533566.29787,646242.164961,559409.560269,862841.526979,647132.588427
sll0558,328884.077151,1483896.56213,126410.244397,502185.3961,575425.502678,878384.475191,441165.114332,977237.574367,571382.297351,773337.488303,927160.391836,769262.32279,138366.661721,534917.582453,400310.463098,744175.669894,1383543.65575,488759.995511
sll0576,1017059.22259,1647169.57555,1424753.83113,1262340.28075,2191844.85833,1631161.68522,1450088.34159,8937920.7608,6857179.32101,4115917.64012,5155649.01469,3952606.5042,3441912.47607,1151540.75433,2363841.85948,2405784.46669,1287331.0505,3156756.22963
sll0578,3627290.18669,4802549.75749,4032241.48559,3340506.39787,3095553.73884,3614067.37761,2744369.00717,2150024.16388,2911895.81445,2929305.34391,1443165.49566,3450015.50386,4780915.9703,3155835.61405,3595203.91735,3026866.8056,1866095.39841,2881717.08177
sll0585,1898393.19361,1707337.8572,1520914.18511,1643896.10363,1465675.11738,2565073.25402,1377574.68627,1218016.4044,1842370.88935,1803887.04181,1083274.89981,1091598.27357,1779758.92188,1997465.38615,1547103.56111,1023008.47627,1460361.64818,1618948.26251
sll0587,1123417.86148,688177.008964,657880.56529,300911.122816,555829.82716,730781.52849,913045.016812,1167273.00489,894048.957258,212808.875364,891735.594741,546777.878738,603708.978271,790184.209756,390764.630427,202506.326311,545322.694783,82819.2103864
sll0593,1098973.23065,1886924.67448,1607903.29467,714109.630206,440572.41258,737529.443083,795084.681368,1225581.7157,679919.343986,480825.154198,430724.073712,386600.375681,438739.831311,157418.261583,417130.118951,630471.645323,787307.440906,675365.411108
sll0616,4194044.28338,4525277.63201,3247934.04267,3445100.12417,2855147.50815,3678411.09394,2340929.23823,1903475.74067,2396498.15546,2294833.12729,3418573.1473,2014797.03209,3786299.46171,2209845.34352,2989840.64749,2579875.37451,6174489.2823,2233969.03901
sll0629,17463122.7343,11775525.6474,8227140.13781,11677106.5666,9885406.31423,13841353.7125,11229920.4015,2345619.01484,11086140.1545,3984139.34267,8163079.63573,6162320.37377,19716166.5096,16707263.5285,21675977.384,7944511.69106,6950881.22751,11057618.1316
sll0630,1959915.45082,1148975.81482,1320078.47105,274656.166602,285319.311808,888163.512275,139841.540497,142452.4006,277589.917619,189801.194864,402914.690548,113254.60269,170262.583869,116508.941984,102453.309047,625265.84154,574791.948752,140404.653266
sll0634,256881.113155,55910.4845595,65589.4681935,999854.956137,406301.96024,1137169.60072,597920.61763,188228.339957,709702.288124,149381.5063,416994.609765,226704.409275,1246530.52137,1231740.26923,1243795.71561,823610.811726,952901.627762,726912.224592
sll0643,1810122.48432,1623131.68647,1504230.79074,914571.242664,834464.27276,1029996.80955,426539.378519,486824.775569,609857.465932,1611973.90508,1408164.83696,1449743.08569,1620944.10748,1524146.55149,1142275.61232,714426.504315,1673936.04865,706266.102513
